"scrambleId";"competitionId";"eventId";"roundTypeId";"groupId";"isExtra";"scrambleNum";"scramble";"edge.targets";"corner.targets";"edge.twists";"corner.twists";"pairity"
740;"BogotaCubico2014";"333bf";"f";"A";1;2;"L2 B2 L2 B2 R U2 B2 D2 B2 R2 D' B2 F' R' B U2 R' D' F U2 B'";11;5;1;1;"pairity"
857;"DneprCubeDay2014";"333bf";"f";"A";0;1;"F U2 B2 D2 B D2 R2 B' D2 U2 F R U F2 U' B D F2 R B";11;7;0;1;"pairity"
858;"DneprCubeDay2014";"333bf";"f";"A";0;2;"D2 F L2 B L2 B' L2 F R2 F2 U' L' U2 B2 F D' L U B2 L B'";12;8;0;0;"no pairity"
859;"DneprCubeDay2014";"333bf";"f";"A";0;3;"B2 L2 U2 B2 D B2 L2 R' U' L2 R' B D R F' D F' R D' L2 U'";9;7;0;1;"pairity"
860;"DneprCubeDay2014";"333bf";"f";"B";0;1;"L2 B' L2 F U2 B U2 B2 R2 D2 L' F R D L D L' D2 B L U L'";12;4;0;0;"no pairity"
861;"DneprCubeDay2014";"333bf";"f";"B";0;2;"U' B2 L2 D B2 D L2 F2 U' F2 D2 F' L2 D L B U2 L' F R F L B2";11;5;0;1;"pairity"
862;"DneprCubeDay2014";"333bf";"f";"B";0;3;"R2 U' L2 R2 F2 U R2 F2 L2 U2 R D F' R' U2 L' D L2 B D2 L' F'";11;9;0;0;"pairity"
1021;"BerkeleyMindSports2014";"333bf";"f";"A";0;1;"D' L2 D F2 R2 U B2 L' R' F U' F' D L2 B2 F2 D' R2 B R'";12;8;0;0;"no pairity"
1022;"BerkeleyMindSports2014";"333bf";"f";"A";0;2;"F' L2 F U2 F L2 B' R2 D2 R2 U R' F2 U B2 R' F' D' B' L2 U L";11;7;1;1;"pairity"
1023;"BerkeleyMindSports2014";"333bf";"f";"A";0;3;"B L2 F R2 B' L2 B' D2 B2 U2 F R B D2 R2 D U2 L B2 U' B L2 U'";12;8;0;0;"no pairity"
1024;"BerkeleyMindSports2014";"333bf";"f";"A";1;1;"D' L2 B2 F2 D2 L2 U B R' U B F L' R D U L' R2 B' L2 U'";14;8;0;1;"no pairity"
1025;"BerkeleyMindSports2014";"333bf";"f";"A";1;2;"D2 B2 D2 L B2 L' F2 L D' F' R U R D' R' B' U R2 B L2 U";12;6;0;2;"no pairity"
1109;"MielecOpen2014";"333bf";"f";"A";0;1;"R2 U' B2 D U2 B2 R2 D' U2 R D2 B2 U' B2 R2 F L2 B' U2 L B";13;7;0;0;"pairity"
1110;"MielecOpen2014";"333bf";"f";"A";0;2;"F' D2 F R2 F L2 D2 L2 U2 B' L2 R' D U' L R' F R2 D' R2 F' L' F";12;6;0;1;"no pairity"
1111;"MielecOpen2014";"333bf";"f";"A";0;3;"B2 L2 B2 R2 U B2 D2 L2 U R2 F' D R B' L2 D' B R F2 D L B R'";11;7;0;1;"pairity"
1112;"MielecOpen2014";"333bf";"f";"A";1;1;"L2 R2 F2 L2 U2 F D2 B' U2 B F2 D B2 L' B U F2 L2 D L U2 L";10;6;2;0;"no pairity"
1113;"MielecOpen2014";"333bf";"f";"A";1;2;"U L2 U L2 U L2 U F2 R F' D' L2 F' U2 F2 L' B2 F R";11;7;0;0;"pairity"
1393;"FariaBritoOpen2014";"333bf";"1";"A";0;1;"U' L2 B2 D B2 R2 D L2 B L2 U B R' D' U' F2 D R B2 L2 U2";11;7;0;0;"pairity"
1394;"FariaBritoOpen2014";"333bf";"1";"A";0;2;"L2 R2 D B2 L2 D R2 D2 F2 U R' B' R' F' D F D2 L' F2 U' L B";11;7;0;0;"pairity"
1395;"FariaBritoOpen2014";"333bf";"1";"A";0;3;"B2 F' R2 F2 D2 U2 F' R2 U2 B' L2 D' L2 R' F L2 B L U2 L2 B R";12;8;0;0;"no pairity"
1396;"FariaBritoOpen2014";"333bf";"1";"A";1;1;"R2 F L2 D2 F2 D2 R2 B' L2 F2 L' F U2 B2 L D B U' B' L2 U'";12;8;0;1;"no pairity"
1397;"FariaBritoOpen2014";"333bf";"1";"A";1;2;"R2 U2 F U2 R2 B' F' L2 D U2 L U' B' R' B2 L2 R2 F' L2";11;7;1;0;"pairity"
1398;"FariaBritoOpen2014";"333bf";"f";"A";0;1;"F2 R2 B2 L F2 L D2 R2 U2 L' D' L F' L' B D U' F' L B' L2 U'";12;8;0;0;"no pairity"
1399;"FariaBritoOpen2014";"333bf";"f";"A";0;2;"R B2 F2 D2 B2 R' B2 L' U2 L' B L' D U' F' L' B' D R D2 B R";11;9;1;0;"pairity"
1400;"FariaBritoOpen2014";"333bf";"f";"A";0;3;"B' U2 R2 B D2 B2 L2 F' R2 U' B' D2 U F L R' D R2 B' R2 D'";12;8;0;0;"no pairity"
1401;"FariaBritoOpen2014";"333bf";"f";"A";1;1;"U R2 F2 U' L2 D2 F' U2 R B2 U' B D2 U R' U L2 R2 D'";10;6;2;1;"no pairity"
1402;"FariaBritoOpen2014";"333bf";"f";"A";1;2;"U2 B' U2 R2 D2 R2 U2 F2 U2 F U' L' D' U' L D R2 B' U2 L B R";8;8;1;1;"no pairity"
1603;"OpenColca2014";"333bf";"f";"A";0;1;"B2 U2 F2 L2 R2 U' F2 U B2 F2 U F R B F' R2 U2 L B2 R2 D B' L'";11;7;1;0;"pairity"
1604;"OpenColca2014";"333bf";"f";"A";0;2;"L2 F2 U' F2 R' B' D2 B2 D F' D2 F2 B2 R2 F2 B2 L' B2 R F2";11;7;1;0;"pairity"
1605;"OpenColca2014";"333bf";"f";"A";0;3;"L2 D2 R' B2 R' F2 L R D2 R B D F R' F L U L' R F' D";10;6;0;2;"no pairity"
1606;"OpenColca2014";"333bf";"f";"A";1;1;"R2 D R2 B2 F2 D' U' L2 D2 U' L B' D' U2 F U R2 B D U' L2";12;6;1;0;"no pairity"
1607;"OpenColca2014";"333bf";"f";"A";1;2;"D' R2 B2 F2 U' F2 U2 F2 U B L' U' B R2 D2 F2 R B2 R2 U' L";14;6;0;1;"no pairity"
1660;"KansaiOpen2014";"333bf";"1";"A";0;1;"D F2 R2 F2 U F2 D' F2 U2 F2 L2 B' L' R2 B L' R2 U' L F2 D L2 U'";11;7;0;1;"pairity"
1661;"KansaiOpen2014";"333bf";"1";"A";0;2;"D R2 D2 B2 U' F2 U F2 U' L' U2 L B' F2 U' L2 B L2 D' B2 D";9;5;1;1;"pairity"
1662;"KansaiOpen2014";"333bf";"1";"A";0;3;"B' D2 F U2 B F D2 F L2 D2 F L U2 F' U R D' F' L' B2 F2 L B'";11;7;0;0;"pairity"
1663;"KansaiOpen2014";"333bf";"1";"A";1;1;"B U2 F R2 F R2 B2 L2 U2 F2 U2 R' F U' L2 B2 F U' B R' U2 B' L";10;8;0;0;"no pairity"
1664;"KansaiOpen2014";"333bf";"1";"A";1;2;"B2 U R2 B2 D' B2 D' U' L2 D' B L' R B2 L' F' D' L' B' R D2 L'";9;5;0;0;"pairity"
1665;"KansaiOpen2014";"333bf";"f";"A";0;1;"L D' R D' F2 L2 D2 R F2 U F' L2 D2 L2 U2 B' L2 F R2 L2";13;7;0;0;"pairity"
1666;"KansaiOpen2014";"333bf";"f";"A";0;2;"U' B2 U' L2 D' F2 D B2 U' F2 D R' U2 R U' L' F' R F D L' F'";12;8;1;1;"no pairity"
1667;"KansaiOpen2014";"333bf";"f";"A";0;3;"B' U2 B' L2 B R2 B' R2 F' L2 D R' F2 D' U2 B2 R F U' L U2 B R2";11;7;1;1;"pairity"
1668;"KansaiOpen2014";"333bf";"f";"A";1;1;"L2 U' B2 U F2 L2 D B2 L' R B' L2 F U L R2 U R B D";13;9;0;0;"pairity"
1669;"KansaiOpen2014";"333bf";"f";"A";1;2;"D2 U2 R U2 L F2 U2 R2 U2 L B F2 D U' L2 F2 U2 B' L' R' F D'";11;7;0;0;"pairity"
1978;"ZonhovenOpen2014";"333bf";"1";"A";0;1;"L2 R2 F2 D2 U2 B D2 F U2 R' D' R B' U' R' D L' R' F' U B' L";11;7;1;0;"pairity"
1979;"ZonhovenOpen2014";"333bf";"1";"A";0;2;"U F2 L2 D R2 B2 R2 U' L' F' R2 F' D2 B F' D2 U2 L' U' L' B' L'";13;9;0;0;"pairity"
1980;"ZonhovenOpen2014";"333bf";"1";"A";0;3;"B' D2 R2 B2 R2 F L2 U2 B' R U B2 F2 R' B U2 R2 B F' L2 U";12;8;0;0;"no pairity"
1981;"ZonhovenOpen2014";"333bf";"1";"A";1;1;"U' R2 U' B2 U F2 U B L2 B2 F D2 F2 U' R F' D B";13;7;1;0;"pairity"
1982;"ZonhovenOpen2014";"333bf";"1";"A";1;2;"D2 F' U2 B U2 F' D2 F D2 L2 D' B2 L2 U B' L' F' R' U' B' L' F'";12;8;0;0;"no pairity"
1983;"ZonhovenOpen2014";"333bf";"1";"B";0;1;"L2 D2 L F2 L' F2 R B2 D2 R F R' B U B' D' R2 F' U L2";10;6;1;1;"no pairity"
1984;"ZonhovenOpen2014";"333bf";"1";"B";0;2;"F2 U' R2 D U2 F2 D2 R U B2 L2 R' B' F' R2 U L' R' U' L2 U";12;6;0;1;"no pairity"
1985;"ZonhovenOpen2014";"333bf";"1";"B";0;3;"L R' B2 D2 R' B2 R B U' F' R D' B F' L2 D B' L B L2 U2";11;5;1;0;"pairity"
1986;"ZonhovenOpen2014";"333bf";"1";"B";1;1;"B2 U2 R D2 F2 D2 L' F2 L2 F2 D' F' L' U' L' F2 D' F2 D' R' D'";9;7;0;0;"pairity"
1987;"ZonhovenOpen2014";"333bf";"1";"B";1;2;"U2 L2 F2 R2 U2 F' D2 U' R2 F' D2 U B' F2 U' L B' R F L2 U";13;7;0;0;"pairity"
1988;"ZonhovenOpen2014";"333bf";"f";"A";0;1;"L2 F L2 R2 B' L2 F2 D2 B2 U' R B' R2 F' L2 B2 L B' F' L'";12;6;0;1;"no pairity"
1989;"ZonhovenOpen2014";"333bf";"f";"A";0;2;"B R2 F2 U2 B2 U2 B R2 B D F R B2 F D B U F2 U F' L2 U2";10;6;0;1;"no pairity"
1990;"ZonhovenOpen2014";"333bf";"f";"A";0;3;"R2 U' R2 B2 D R2 D2 F2 R' D' B' L2 B' F' L' F' D F U2 F2 L2 U2";11;7;0;0;"pairity"
1991;"ZonhovenOpen2014";"333bf";"f";"A";1;1;"F L2 F' D2 B L2 F' D2 B' D2 L2 U' L' R' D U' R2 D B L2 D' L B";11;7;0;1;"pairity"
